policy,setting,tokens,critical_tokens,avg_exit_layer,compute_saved,disagreement_all,disagreement_critical,harm_weighted_disagreement,mean_excess_nll,critical_excess_nll,critical_rescue_rate_vs_entropy,disagreement_critical_ci95,harm_weighted_ci95
tokentriage-minlayer,"entropy=0.15,min=0.72",573,59,16.499,0.4107,0.6719,0.7288,0.6909,6.4447,3.973,0.0,0.6438-0.8421,0.6541-0.7391
tokentriage-stable,"entropy=0.15,min=0.72",573,59,16.845,0.3984,0.5969,0.0,0.3952,6.0923,0.5504,1.0,0.0000-0.0000,0.3166-0.4705
tokentriage-kstable,"entropy=0.15,min=0.72,k=2",573,59,16.59,0.4075,0.6562,0.5763,0.6294,6.3952,3.4923,0.2093,0.4624-0.7174,0.5691-0.6924
tokentriage-kstable,"entropy=0.15,min=0.72,k=3",573,59,16.728,0.4026,0.6353,0.3729,0.5458,6.3,2.5673,0.5116,0.2836-0.5238,0.4709-0.6250
tokentriage-kstable,"entropy=0.15,min=0.72,k=4",573,59,16.817,0.3994,0.623,0.2542,0.4977,6.2411,1.9954,0.6512,0.1429-0.3968,0.4247-0.5786
tokentriage-minlayer,"entropy=0.15,min=0.85",573,59,16.675,0.4045,0.6492,0.5085,0.6025,6.3092,2.6564,0.3023,0.3881-0.7143,0.5402-0.6857
tokentriage-stable,"entropy=0.15,min=0.85",573,59,16.862,0.3978,0.5969,0.0,0.3952,6.0828,0.4583,1.0,0.0000-0.0000,0.3166-0.4705
tokentriage-kstable,"entropy=0.15,min=0.85,k=2",573,59,16.738,0.4022,0.6405,0.4237,0.5678,6.2884,2.4548,0.4186,0.2796-0.5946,0.4867-0.6444
tokentriage-kstable,"entropy=0.15,min=0.85,k=3",573,59,16.836,0.3987,0.623,0.2542,0.4982,6.201,1.6055,0.6744,0.1500-0.3582,0.4422-0.5777
tokentriage-kstable,"entropy=0.15,min=0.85,k=4",573,59,16.914,0.3959,0.6126,0.1525,0.4567,6.1351,0.9655,0.7907,0.0857-0.2090,0.3948-0.5163
