policy,setting,tokens,critical_tokens,avg_exit_layer,compute_saved,disagreement_all,disagreement_critical,harm_weighted_disagreement,mean_excess_nll,critical_excess_nll,critical_rescue_rate_vs_entropy,disagreement_critical_ci95,harm_weighted_ci95
fixed-depth,0.25,13697,1163,7.0,0.75,0.978,0.9931,0.9824,9.1296,8.0535,,,
fixed-depth,0.50,13697,1163,14.0,0.5,0.9623,0.9871,0.9695,7.832,6.7562,,,
fixed-depth,0.75,13697,1163,21.0,0.25,0.8083,0.8315,0.8118,5.3564,3.7664,,,
fixed-depth,1.00,13697,1163,28.0,0.0,0.0,0.0,0.0,0.0,-0.0,,,
stability-oracle,first-final-stable,13697,1163,25.409,0.0925,0.0,0.0,0.0,0.7513,0.5153,,,
entropy,threshold=0.10,13697,1163,17.391,0.3789,0.4939,0.7171,0.5598,5.8341,7.6288,,0.6862-0.7471,0.5490-0.5717
tokentriage-minlayer,"entropy=0.10,min=0.50",13697,1163,18.032,0.356,0.4932,0.7085,0.5564,5.6154,5.0537,0.0144,0.6776-0.7384,0.5452-0.5680
tokentriage-stable,"entropy=0.10,min=0.50",13697,1163,18.732,0.331,0.433,0.0,0.3034,5.2281,0.4913,1.0,0.0000-0.0000,0.2953-0.3132
tokentriage-kstable,"entropy=0.10,min=0.50,k=2",13697,1163,18.061,0.355,0.4926,0.7016,0.554,5.6101,4.9906,0.024,0.6727-0.7336,0.5433-0.5665
tokentriage-kstable,"entropy=0.10,min=0.50,k=3",13697,1163,18.116,0.353,0.4902,0.6733,0.5437,5.5887,4.7389,0.0635,0.6385-0.7055,0.5317-0.5565
tokentriage-kstable,"entropy=0.10,min=0.50,k=4",13697,1163,18.204,0.3499,0.4838,0.5976,0.516,5.5488,4.2684,0.1691,0.5677-0.6273,0.5045-0.5273
tokentriage-minlayer,"entropy=0.10,min=0.65",13697,1163,18.301,0.3464,0.491,0.6827,0.5465,5.5639,4.4465,0.0504,0.6512-0.7143,0.5361-0.5578
tokentriage-stable,"entropy=0.10,min=0.65",13697,1163,18.734,0.3309,0.433,0.0,0.3034,5.2279,0.4897,1.0,0.0000-0.0000,0.2953-0.3132
tokentriage-kstable,"entropy=0.10,min=0.65,k=2",13697,1163,18.342,0.3449,0.4875,0.6414,0.5313,5.5247,3.9849,0.1079,0.6102-0.6757,0.5208-0.5440
tokentriage-kstable,"entropy=0.10,min=0.65,k=3",13697,1163,18.411,0.3425,0.481,0.5649,0.5034,5.4824,3.4871,0.2146,0.5341-0.5974,0.4929-0.5159
tokentriage-kstable,"entropy=0.10,min=0.65,k=4",13697,1163,18.476,0.3401,0.4739,0.4815,0.473,5.4423,3.014,0.3309,0.4590-0.5106,0.4646-0.4836
tokentriage-minlayer,"entropy=0.10,min=0.72",13697,1163,18.411,0.3425,0.4849,0.6113,0.5194,5.4306,2.8764,0.1499,0.5819-0.6400,0.5100-0.5300
tokentriage-stable,"entropy=0.10,min=0.72",13697,1163,18.742,0.3306,0.433,0.0,0.3034,5.2265,0.4729,1.0,0.0000-0.0000,0.2953-0.3132
tokentriage-kstable,"entropy=0.10,min=0.72,k=2",13697,1163,18.463,0.3406,0.4814,0.5701,0.5046,5.4115,2.6512,0.2074,0.5412-0.6019,0.4956-0.5161
tokentriage-kstable,"entropy=0.10,min=0.72,k=3",13697,1163,18.553,0.3374,0.4713,0.4514,0.4622,5.373,2.1987,0.3717,0.4244-0.4806,0.4504-0.4734
tokentriage-kstable,"entropy=0.10,min=0.72,k=4",13697,1163,18.616,0.3351,0.4629,0.3525,0.4267,5.3358,1.76,0.5096,0.3300-0.3797,0.4175-0.4376
tokentriage-minlayer,"entropy=0.10,min=0.85",13697,1163,18.589,0.3361,0.4832,0.5916,0.5132,5.3971,2.4817,0.1906,0.5601-0.6237,0.5031-0.5238
tokentriage-stable,"entropy=0.10,min=0.85",13697,1163,18.766,0.3298,0.433,0.0,0.3034,5.2247,0.4521,1.0,0.0000-0.0000,0.2953-0.3132
tokentriage-kstable,"entropy=0.10,min=0.85,k=2",13697,1163,18.636,0.3344,0.4768,0.5159,0.4857,5.3678,2.1368,0.2866,0.4891-0.5477,0.4767-0.4982
tokentriage-kstable,"entropy=0.10,min=0.85,k=3",13697,1163,18.698,0.3322,0.462,0.3414,0.4231,5.3083,1.4369,0.5252,0.3139-0.3693,0.4125-0.4351
tokentriage-kstable,"entropy=0.10,min=0.85,k=4",13697,1163,18.733,0.331,0.4541,0.2485,0.3898,5.2718,1.0066,0.6547,0.2258-0.2762,0.3787-0.4008
entropy,threshold=0.15,13697,1163,14.134,0.4952,0.6594,0.8409,0.714,7.2693,8.6537,,0.8154-0.8623,0.7036-0.7237
tokentriage-minlayer,"entropy=0.15,min=0.50",13697,1163,14.895,0.468,0.6587,0.8323,0.7106,7.0231,5.7542,0.0123,0.8068-0.8561,0.7001-0.7203
tokentriage-stable,"entropy=0.15,min=0.50",13697,1163,15.717,0.4387,0.588,0.0,0.412,6.5769,0.4999,1.0,0.0000-0.0000,0.4021-0.4215
tokentriage-kstable,"entropy=0.15,min=0.50,k=2",13697,1163,14.937,0.4665,0.6577,0.8203,0.7062,7.0172,5.6852,0.0266,0.7965-0.8434,0.6957-0.7151
tokentriage-kstable,"entropy=0.15,min=0.50,k=3",13697,1163,15.007,0.464,0.6542,0.7799,0.6916,6.9892,5.355,0.0746,0.7494-0.8066,0.6805-0.7022
tokentriage-kstable,"entropy=0.15,min=0.50,k=4",13697,1163,15.12,0.46,0.6455,0.6776,0.654,6.9359,4.7271,0.1963,0.6543-0.7047,0.6450-0.6652
tokentriage-minlayer,"entropy=0.15,min=0.65",13697,1163,15.214,0.4566,0.6562,0.8031,0.6993,6.9636,5.0538,0.047,0.7810-0.8275,0.6897-0.7091
