policy,setting,tokens,critical_tokens,avg_exit_layer,compute_saved,disagreement_all,disagreement_critical,harm_weighted_disagreement,mean_excess_nll,critical_excess_nll,critical_rescue_rate_vs_entropy,disagreement_critical_ci95,harm_weighted_ci95
tokentriage-minlayer,"entropy=0.15,min=0.72",921,84,20.706,0.1373,0.2085,0.2619,0.2255,2.2835,1.7784,0.0435,0.1892-0.3298,0.1940-0.2620
tokentriage-stable,"entropy=0.15,min=0.72",921,84,20.833,0.132,0.1846,0.0,0.1266,2.1508,0.3231,1.0,0.0000-0.0000,0.1004-0.1533
tokentriage-kstable,"entropy=0.15,min=0.72,k=2",921,84,20.726,0.1364,0.2063,0.2381,0.2171,2.2576,1.4948,0.1304,0.1549-0.3085,0.1832-0.2514
tokentriage-kstable,"entropy=0.15,min=0.72,k=3",921,84,20.768,0.1347,0.202,0.1905,0.199,2.224,1.1267,0.3043,0.1209-0.2660,0.1682-0.2339
tokentriage-kstable,"entropy=0.15,min=0.72,k=4",921,84,20.81,0.1329,0.1965,0.131,0.1764,2.1749,0.5875,0.5217,0.0533-0.2021,0.1318-0.2196
tokentriage-minlayer,"entropy=0.15,min=0.85",921,84,20.779,0.1342,0.2052,0.2262,0.2129,2.222,1.1042,0.1739,0.1475-0.2872,0.1811-0.2475
tokentriage-stable,"entropy=0.15,min=0.85",921,84,20.838,0.1317,0.1846,0.0,0.1266,2.1475,0.2878,1.0,0.0000-0.0000,0.1004-0.1533
tokentriage-kstable,"entropy=0.15,min=0.85,k=2",921,84,20.813,0.1328,0.1954,0.119,0.1715,2.183,0.6769,0.5652,0.0588-0.1728,0.1432-0.2093
tokentriage-kstable,"entropy=0.15,min=0.85,k=3",921,84,20.825,0.1323,0.1933,0.0952,0.1633,2.1658,0.4876,0.6522,0.0270-0.1642,0.1299-0.2083
tokentriage-kstable,"entropy=0.15,min=0.85,k=4",921,84,20.843,0.1316,0.19,0.0595,0.1497,2.146,0.2715,0.7826,0.0123-0.1299,0.1165-0.2000
entropy,threshold=0.20,921,84,19.422,0.1907,0.2617,0.3095,0.2767,2.9375,3.5926,,0.2436-0.3836,0.2427-0.3157
tokentriage-minlayer,"entropy=0.20,min=0.50",921,84,19.65,0.1812,0.2617,0.3095,0.2767,2.9329,3.5425,0.0,0.2436-0.3836,0.2427-0.3157
tokentriage-stable,"entropy=0.20,min=0.50",921,84,19.955,0.1685,0.2334,0.0,0.1601,2.6421,0.3531,1.0,0.0000-0.0000,0.1319-0.1878
tokentriage-kstable,"entropy=0.20,min=0.50,k=2",921,84,19.678,0.1801,0.2617,0.3095,0.2767,2.9125,3.3182,0.0,0.2436-0.3836,0.2427-0.3157
tokentriage-kstable,"entropy=0.20,min=0.50,k=3",921,84,19.764,0.1765,0.2584,0.2738,0.2636,2.8392,2.5145,0.1154,0.1954-0.3590,0.2279-0.2997
tokentriage-kstable,"entropy=0.20,min=0.50,k=4",921,84,19.833,0.1736,0.2519,0.2024,0.2368,2.7566,1.6093,0.3462,0.1081-0.2985,0.1936-0.2785
tokentriage-minlayer,"entropy=0.20,min=0.65",921,84,19.755,0.1769,0.2617,0.3095,0.2767,2.8588,2.73,0.0,0.2436-0.3836,0.2427-0.3157
tokentriage-stable,"entropy=0.20,min=0.65",921,84,19.955,0.1685,0.2334,0.0,0.1601,2.6421,0.3531,1.0,0.0000-0.0000,0.1319-0.1878
tokentriage-kstable,"entropy=0.20,min=0.65,k=2",921,84,19.797,0.1751,0.2606,0.2976,0.2726,2.8076,2.1678,0.0385,0.2179-0.3830,0.2371-0.3157
tokentriage-kstable,"entropy=0.20,min=0.65,k=3",921,84,19.849,0.173,0.2552,0.2381,0.2502,2.7554,1.5955,0.2308,0.1618-0.3333,0.2163-0.2846
tokentriage-kstable,"entropy=0.20,min=0.65,k=4",921,84,19.893,0.1711,0.2497,0.1786,0.2275,2.7029,1.0202,0.4231,0.0800-0.2836,0.1832-0.2711
tokentriage-minlayer,"entropy=0.20,min=0.72",921,84,19.807,0.1747,0.2606,0.2976,0.2718,2.7871,1.9436,0.0385,0.2184-0.3766,0.2329-0.3112
tokentriage-stable,"entropy=0.20,min=0.72",921,84,19.955,0.1685,0.2334,0.0,0.1601,2.6421,0.3531,1.0,0.0000-0.0000,0.1319-0.1878
tokentriage-kstable,"entropy=0.20,min=0.72,k=2",921,84,19.827,0.1739,0.2584,0.2738,0.2634,2.7613,1.6601,0.1154,0.1757-0.3582,0.2187-0.3071
tokentriage-kstable,"entropy=0.20,min=0.72,k=3",921,84,19.877,0.1718,0.253,0.2143,0.2411,2.7223,1.2326,0.3077,0.1324-0.3134,0.2035-0.2793
tokentriage-kstable,"entropy=0.20,min=0.72,k=4",921,84,19.923,0.1699,0.2476,0.1548,0.2185,2.6719,0.6798,0.5,0.0588-0.2687,0.1694-0.2668
tokentriage-minlayer,"entropy=0.20,min=0.85",921,84,19.891,0.1712,0.2573,0.2619,0.2592,2.7134,1.1351,0.1538,0.1839-0.3434,0.2223-0.2998
tokentriage-stable,"entropy=0.20,min=0.85",921,84,19.962,0.1683,0.2334,0.0,0.1601,2.6386,0.3149,1.0,0.0000-0.0000,0.1319-0.1878
tokentriage-kstable,"entropy=0.20,min=0.85,k=2",921,84,19.933,0.1695,0.2454,0.131,0.2095,2.6775,0.7412,0.5769,0.0588-0.2239,0.1758-0.2547
tokentriage-kstable,"entropy=0.20,min=0.85,k=3",921,84,19.948,0.1688,0.2421,0.0952,0.1969,2.6562,0.5082,0.6923,0.0270-0.1642,0.1629-0.2439
tokentriage-kstable,"entropy=0.20,min=0.85,k=4",921,84,19.966,0.1681,0.2389,0.0595,0.1833,2.6355,0.281,0.8077,0.0123-0.1299,0.1529-0.2309
entropy,threshold=0.30,921,84,16.129,0.3279,0.4473,0.4524,0.45,5.0043,4.3609,,0.3279-0.5479,0.3947-0.4984
tokentriage-minlayer,"entropy=0.30,min=0.50",921,84,16.458,0.3142,0.4473,0.4524,0.45,5.0172,4.5028,0.0,0.3279-0.5479,0.3947-0.4984
tokentriage-stable,"entropy=0.30,min=0.50",921,84,16.882,0.2966,0.4061,0.0,0.2785,4.6436,0.4062,1.0,0.0000-0.0000,0.2423-0.3193
tokentriage-kstable,"entropy=0.30,min=0.50,k=2",921,84,16.502,0.3124,0.4452,0.4286,0.4415,4.991,4.2158,0.0526,0.3115-0.5342,0.3924-0.4915
tokentriage-kstable,"entropy=0.30,min=0.50,k=3",921,84,16.621,0.3075,0.4408,0.381,0.4235,4.8972,3.1866,0.1579,0.2759-0.4714,0.3755-0.4691
tokentriage-kstable,"entropy=0.30,min=0.50,k=4",921,84,16.721,0.3033,0.43,0.2619,0.3776,4.7936,2.0509,0.4211,0.1609-0.3434,0.3251-0.4215
