policy,setting,tokens,critical_tokens,avg_exit_layer,compute_saved,disagreement_all,disagreement_critical,harm_weighted_disagreement,mean_excess_nll,critical_excess_nll,critical_rescue_rate_vs_entropy,disagreement_critical_ci95,harm_weighted_ci95
fixed-depth,0.25,3783,341,9.0,0.75,0.9889,1.0,0.9923,13.0615,11.1419,,,
fixed-depth,0.50,3783,341,18.0,0.5,0.9865,1.0,0.9907,11.2298,10.0094,,,
fixed-depth,0.75,3783,341,27.0,0.25,0.9738,0.9971,0.981,9.7866,7.8905,,,
fixed-depth,1.00,3783,341,36.0,0.0,0.0,0.0,0.0,-0.0,0.0,,,
stability-oracle,first-final-stable,3783,341,33.932,0.0574,0.0,0.0,0.0,0.868,0.6737,,,
entropy,threshold=0.10,3783,341,24.43,0.3214,0.5633,0.5308,0.5543,7.8061,6.6502,,0.4708-0.5807,0.5292-0.5751
tokentriage-minlayer,"entropy=0.10,min=0.50",3783,341,24.769,0.312,0.5633,0.5308,0.5543,7.685,5.3066,0.0,0.4708-0.5807,0.5292-0.5751
tokentriage-stable,"entropy=0.10,min=0.50",3783,341,25.287,0.2976,0.5155,0.0,0.3552,7.2552,0.5391,1.0,0.0000-0.0000,0.3392-0.3712
tokentriage-kstable,"entropy=0.10,min=0.50,k=2",3783,341,24.804,0.311,0.5604,0.4985,0.5422,7.6474,4.8896,0.0608,0.4469-0.5442,0.5200-0.5636
tokentriage-kstable,"entropy=0.10,min=0.50,k=3",3783,341,24.864,0.3093,0.5546,0.434,0.5179,7.596,4.3199,0.1823,0.3824-0.4806,0.4944-0.5389
tokentriage-kstable,"entropy=0.10,min=0.50,k=4",3783,341,24.915,0.3079,0.5504,0.3871,0.5002,7.5639,3.9636,0.2707,0.3386-0.4345,0.4789-0.5177
tokentriage-minlayer,"entropy=0.10,min=0.65",3783,341,24.923,0.3077,0.5633,0.5308,0.5543,7.6567,4.9931,0.0,0.4708-0.5807,0.5292-0.5751
tokentriage-stable,"entropy=0.10,min=0.65",3783,341,25.287,0.2976,0.5155,0.0,0.3552,7.2552,0.5391,1.0,0.0000-0.0000,0.3392-0.3712
tokentriage-kstable,"entropy=0.10,min=0.65,k=2",3783,341,24.968,0.3065,0.5599,0.4927,0.5398,7.6011,4.3764,0.0718,0.4415-0.5376,0.5183-0.5598
tokentriage-kstable,"entropy=0.10,min=0.65,k=3",3783,341,25.043,0.3044,0.5519,0.4047,0.5067,7.5311,3.599,0.2376,0.3563-0.4530,0.4845-0.5262
tokentriage-kstable,"entropy=0.10,min=0.65,k=4",3783,341,25.116,0.3023,0.544,0.3167,0.4733,7.4824,3.0586,0.4033,0.2690-0.3583,0.4526-0.4915
