policy,setting,tokens,critical_tokens,avg_exit_layer,compute_saved,disagreement_all,disagreement_critical,harm_weighted_disagreement,mean_excess_nll,critical_excess_nll,critical_rescue_rate_vs_entropy,disagreement_critical_ci95,harm_weighted_ci95
tokentriage-kstable,"entropy=0.15,min=0.65,k=4",3783,341,20.637,0.1401,0.2033,0.1349,0.1817,2.3375,0.9983,0.425,0.1006-0.1671,0.1639-0.1986
tokentriage-minlayer,"entropy=0.15,min=0.72",3783,341,20.582,0.1424,0.212,0.2317,0.2177,2.3752,1.4173,0.0125,0.1971-0.2679,0.2014-0.2345
tokentriage-stable,"entropy=0.15,min=0.72",3783,341,20.687,0.138,0.1911,0.0,0.1317,2.2702,0.2523,1.0,0.0000-0.0000,0.1216-0.1442
tokentriage-kstable,"entropy=0.15,min=0.72,k=2",3783,341,20.606,0.1414,0.2102,0.2111,0.2099,2.3501,1.1384,0.1,0.1724-0.2472,0.1935-0.2257
tokentriage-kstable,"entropy=0.15,min=0.72,k=3",3783,341,20.645,0.1398,0.2041,0.1437,0.1853,2.3106,0.7007,0.3875,0.1126-0.1748,0.1715-0.2013
tokentriage-kstable,"entropy=0.15,min=0.72,k=4",3783,341,20.673,0.1386,0.2004,0.1026,0.17,2.2919,0.493,0.5625,0.0705-0.1301,0.1560-0.1861
tokentriage-minlayer,"entropy=0.15,min=0.85",3783,341,20.64,0.14,0.2096,0.2053,0.2081,2.3299,0.9139,0.125,0.1676-0.2402,0.1911-0.2246
tokentriage-stable,"entropy=0.15,min=0.85",3783,341,20.692,0.1378,0.1911,0.0,0.1317,2.2695,0.2448,1.0,0.0000-0.0000,0.1216-0.1442
tokentriage-kstable,"entropy=0.15,min=0.85,k=2",3783,341,20.666,0.1389,0.2046,0.1496,0.187,2.2953,0.5309,0.3625,0.1156-0.1875,0.1736-0.2026
tokentriage-kstable,"entropy=0.15,min=0.85,k=3",3783,341,20.689,0.1379,0.1977,0.0733,0.1593,2.2698,0.2472,0.6875,0.0471-0.0983,0.1483-0.1715
tokentriage-kstable,"entropy=0.15,min=0.85,k=4",3783,341,20.708,0.1372,0.1943,0.0352,0.1455,2.2591,0.1294,0.85,0.0172-0.0552,0.1340-0.1587
entropy,threshold=0.20,3783,341,19.137,0.2026,0.2784,0.3196,0.2902,3.2184,3.6085,,0.2778-0.3600,0.2721-0.3093
tokentriage-minlayer,"entropy=0.20,min=0.50",3783,341,19.349,0.1938,0.2784,0.3196,0.2902,3.2146,3.5672,0.0,0.2778-0.3600,0.2721-0.3093
tokentriage-stable,"entropy=0.20,min=0.50",3783,341,19.639,0.1817,0.2495,0.0,0.1719,2.9207,0.3062,1.0,0.0000-0.0000,0.1607-0.1867
tokentriage-kstable,"entropy=0.20,min=0.50,k=2",3783,341,19.377,0.1926,0.2778,0.3138,0.288,3.1946,3.3443,0.0183,0.2687-0.3567,0.2695-0.3078
tokentriage-kstable,"entropy=0.20,min=0.50,k=3",3783,341,19.444,0.1899,0.2739,0.2698,0.272,3.1348,2.6813,0.156,0.2266-0.3067,0.2559-0.2913
tokentriage-kstable,"entropy=0.20,min=0.50,k=4",3783,341,19.504,0.1873,0.2686,0.2111,0.2502,3.0706,1.9696,0.3394,0.1698-0.2536,0.2326-0.2702
tokentriage-minlayer,"entropy=0.20,min=0.65",3783,341,19.447,0.1897,0.2784,0.3196,0.2902,3.1531,2.8845,0.0,0.2778-0.3600,0.2721-0.3093
tokentriage-stable,"entropy=0.20,min=0.65",3783,341,19.639,0.1817,0.2495,0.0,0.1719,2.9207,0.3062,1.0,0.0000-0.0000,0.1607-0.1867
tokentriage-kstable,"entropy=0.20,min=0.65,k=2",3783,341,19.495,0.1877,0.2768,0.3021,0.2834,3.0955,2.245,0.055,0.2571-0.3415,0.2653-0.3044
